Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.51,-.23,-.30,-.06,-.16,-.19,-.27,-.24,-.32,-.43,-.40,-.29,***,***,-.20,-.21,-.33
1881,-.31,-.22,-.04,.00,.03,-.32,.08,-.04,-.26,-.44,-.37,-.24,-.18,-.19,-.31,.00,-.10,-.36
1882,.26,.21,.02,-.30,-.23,-.28,-.28,-.16,-.26,-.52,-.34,-.69,-.21,-.18,.08,-.17,-.24,-.37
1883,-.58,-.66,-.15,-.30,-.25,-.11,-.05,-.22,-.34,-.16,-.45,-.15,-.29,-.33,-.64,-.23,-.13,-.32
1884,-.17,-.11,-.64,-.60,-.36,-.41,-.41,-.51,-.45,-.44,-.57,-.47,-.43,-.40,-.14,-.53,-.44,-.49
1885,-1.01,-.45,-.24,-.49,-.58,-.44,-.34,-.41,-.40,-.37,-.38,-.11,-.44,-.46,-.65,-.44,-.40,-.38
1886,-.75,-.84,-.71,-.37,-.33,-.37,-.14,-.42,-.32,-.31,-.39,-.21,-.43,-.42,-.57,-.47,-.31,-.34
1887,-1.08,-.70,-.44,-.38,-.25,-.20,-.24,-.54,-.20,-.48,-.27,-.42,-.43,-.42,-.66,-.36,-.33,-.32
1888,-.48,-.60,-.63,-.21,-.15,-.02,.00,-.21,-.19,-.03,.00,-.23,-.23,-.25,-.50,-.33,-.08,-.07
1889,-.28,.29,-.02,.17,-.03,-.06,-.08,-.20,-.30,-.41,-.61,-.54,-.17,-.15,-.07,.04,-.11,-.44
1890,-.63,-.57,-.47,-.24,-.35,-.15,-.23,-.39,-.35,-.10,-.62,-.46,-.38,-.39,-.58,-.35,-.26,-.36
1891,-.46,-.69,-.16,-.35,-.15,-.12,-.12,-.12,-.07,-.28,-.52,-.03,-.26,-.29,-.54,-.22,-.12,-.29
